policy,baseline_policy,weather_scenario,group,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
P4_elder_priority,P0_first_come,W0,18-39,ride_hailing_requests,4.1,4.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,successful_ride_hailing_requests,4.0,4.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,failed_ride_hailing_requests,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,ride_hailing_success_rate,0.983333,0.983333,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,mean_ride_hailing_wait_minutes_per_request,10.559458,10.559458,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,fallback_attempts,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,18-39,planned_necessary_activities,18.0,18.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,completed_necessary_activities,17.5,17.5,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,necessary_activity_completion_rate,0.972222,0.972222,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,walking_legs,1.5,1.5,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,bus_legs,17.3,17.3,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,metro_legs,22.2,22.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,ride_hailing_legs,4.0,4.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,mean_total_travel_time,61.579419,61.579419,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,total_outdoor_exposure_minutes,885.1759,885.1759,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,18-39,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,40-59,ride_hailing_requests,1.7,1.7,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,successful_ride_hailing_requests,1.6,1.6,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,failed_ride_hailing_requests,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,ride_hailing_success_rate,0.971429,0.971429,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,mean_ride_hailing_wait_minutes_per_request,6.986638,6.986638,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,fallback_attempts,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,40-59,planned_necessary_activities,16.1,16.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,completed_necessary_activities,15.1,15.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,necessary_activity_completion_rate,0.938603,0.938603,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,walking_legs,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,bus_legs,19.2,19.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,metro_legs,13.2,13.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,ride_hailing_legs,1.6,1.6,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,mean_total_travel_time,67.437829,67.437829,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,40-59,total_outdoor_exposure_minutes,616.374,616.374,0.0,0.0,True,
